Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
3/12/2019,4500148927,20,,ตลับกรองหน้ากากครึ่งหน้า 3M.7007K-100,30,EA,THB,150.00,"4,500.00",RB11,RB0,RB00,1,BG00012500, J & S SAFETY SUPPLY LTD.
3/12/2019,4500148927,30,,ถุงมือยางดำ Tiger 24นิ้ว (คู่),8,EA,THB,180.00,"1,440.00",RB11,RB0,RB00,1,BG00012500, J & S SAFETY SUPPLY LTD.
3/12/2019,4500148927,40,,แผ่นกรองฝุ่น 3M-7711,40,EA,THB,36.00,"1,440.00",RB11,RB0,RB00,1,BG00012500, J & S SAFETY SUPPLY LTD.
3/12/2019,4500148927,50,,ฝาครอบ 3M 774,30,EA,THB,53.00,"1,590.00",RB11,RB0,RB00,1,BG00012500, J & S SAFETY SUPPLY LTD.
3/12/2019,4500148927,60,,หน้ากากครึ่งหน้า 3M 7702,8,EA,THB,590.00,"4,720.00",RB11,RB0,RB00,1,BG00012500, J & S SAFETY SUPPLY LTD.
3/11/2019,4500148851,10,,รถเข็นถาดเหล็ก 3 ชั้น Model: TT3-5007,1,SET,THB,"4,675.00","4,675.00",RB11,RB2,RB00,1,BG00012504," JENBUNJERD CO., LTD."
3/26/2019,4500150087,10,,ค่ากำจัด Wastewater Sludge #TMS180058,"14,270.000",KG,THB,3.20,"45,664.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150088,10,,ค่ากำจัดน้ำเสียจากการดักจับไอระเหย lot 1,"29,610.000",KG,THB,4.80,"142,128.00",RB11,RB2,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150088,20,,ค่ากำจัดน้ำเสียจากการดักจับไอระเหย lot 2,"27,510.000",KG,THB,4.80,"132,048.00",RB11,RB2,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150088,30,,ค่ากำจัดน้ำเสียจากการดักจับไอระเหย lot 3,"29,740.000",KG,THB,4.80,"142,752.00",RB11,RB2,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150088,40,,ค่ากำจัดน้ำเสียจากการดักจับไอระเหย lot 4,"29,440.000",KG,THB,4.80,"141,312.00",RB11,RB2,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150088,50,,ค่ากำจัดน้ำเสียจากการดักจับไอระเหย lot 5,"26,810.000",KG,THB,4.80,"128,688.00",RB11,RB2,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150092,10,,ค่าบริการล้างทำความสะอาด Drum,"2,175",EA,THB,3.00,"6,525.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150092,20,,ค่าบริการล้างทำความสะอาด Drum คุมเครื่อง,"2,175",EA,THB,5.00,"10,875.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150092,30,,ค่าบริการล้างทำความสะอาด Bulk,540,EA,THB,60.00,"32,400.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/26/2019,4500150092,40,,ค่าบริการทำความสะอาด Bulk (B),3,EA,THB,100.00,300.00,RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
3/12/2019,4500148909,10,,Set A:Clamp-on flow sensor,1,SET,THB,"34,000.00","34,000.00",RB11,RB2,RB00,1,BG00012516," KEYENCE (THAILAND) CO.,"
3/18/2019,4500149403,10,,Patition Sheet 1.2 x1.2 ม.,600,EA,THB,43.00,"25,800.00",RB11,RB1,RB00,1,BG00012525," L.Y. COMMERCIAL CO., LTD"
3/11/2019,4500148871,10,,Pegboard drying rack(45x63 cm.),1,EA,THB,"3,900.00","3,900.00",RB11,RB1,RB00,1,BG00012527, LAB VALLEY LIMITED PARTN
